物件,價位/坪,總價,房間,位置
站前低總價2房,15.81,,2房1廳1衛,花蓮市
*專售*市區建國收租型透天-家有建國,21.45,,4房2廳4衛,花蓮市
獨家專賣美崙溫水游泳池大坪數豪宅華廈,18.9,,3房2廳3衛,花蓮市
🈶專~後站稀有釋出美墅,22.93,,4房3廳4衛,花蓮市
專任~壽豐壽農段近台九小坪數農地,0.81,,,壽豐鄉
專任 太昌住辦別墅,18.38,,4房2廳3衛,吉安鄉
慈濟北昌1樓店面,31.3,,,花蓮市
美崙工業區合法無增建廠房,18.51,,,花蓮市
抗通膨投報6%國風學區雙車庫店住,36.46,,7房2廳7衛,花蓮市
台灣大為推薦美崙附小學區2+1房,20.85,,3房2廳2衛,花蓮市
東華大學附近都內便宜方正美農地,0.73,,,壽豐鄉
※近黃昏市場全新2房車位華廈※,27.79,,2房2廳2衛,吉安鄉
🍎專任！北昌大空間公寓！賣屋四寶媽上慧,14.24,,3房2廳1衛,吉安鄉
瑞穗退休首選住宅區建地,3.6,,,瑞穗鄉
🍎永慶富國🍎天琴樓中樓華廈平面車位,18.82,,3房3廳3衛,花蓮市
我是承辦~美崙全新電梯別墅~免兩千萬,29.53,,3房3廳4衛,花蓮市
🍎仁里全新整理別墅！賣屋四寶媽上慧,28.78,,3房2廳3衛,吉安鄉
🍎市區邊間稀有便宜店住！賣屋四寶媽上慧,32.8,,4房2廳5衛,花蓮市
🍎慶豐稀有鋼構透天.賣屋四寶媽上慧,39.79,,1房1廳1衛,吉安鄉
🍎吉安大空間採光好三房！賣屋四寶媽上慧,19.36,,3房2廳2衛,吉安鄉
🍎吉安8年三面採光農舍.賣屋四寶媽上慧,38.81,,5房3廳6衛,吉安鄉
專任~鳳林百坪小建地,3.98,,,鳳林鎮
黃昏市場稀有雙車庫電梯別墅,30.47,,4房2廳5衛,吉安鄉
🍎永慶富國🍎專售正自強路旁黃金店面,41.02,,4房2廳5衛,吉安鄉
[專任]美崙文教區民孝國宅華廈,12.3,,3房2廳2衛,花蓮市
🍎永慶富國🍎北昌雙拼大別墅近慈濟醫院,34.68,,3房3廳2衛,花蓮市
台九線上稀有建地,10.5,,,新城鄉
吉安慈濟稀有農舍-宏宇,33.77,,5房3廳6衛,吉安鄉
花蓮市漂亮大地坪店住-宏宇,29.62,,3房2廳5衛,花蓮市
新城富比世低總價別墅C-宏宇,23.09,,2房3廳3衛,新城鄉
光復低總價好地點小透天-宏宇,7.81,,5房2廳2衛,光復鄉
專任石梯坪知名露營美地-宏宇,6.82,,,豐濱鄉
吉安美式鄉村風優質農舍,36.62,,,吉安鄉
專任遠百商圈大空間店面住家-宏宇,34.63,,,花蓮市
鹽寮遠雄看海小農地-宏宇,1.4,,,壽豐鄉
國立東華大學門口超正建地可蓋店面大樓民宿,34,,,壽豐鄉
志揚】專任在半山腰俯瞰國際慢城‒鳳林鎮,0.47,,,鳳林鎮
太昌~輕齡慢慢生活綠意農舍,33.77,,,吉安鄉
志揚】新城煙波飯店旁天空之鏡海景農舍,24.06,,9房2廳10衛,新城鄉
美崙工業區方正乙工建地,5.57,,,花蓮市
獨家★北埔花海旁孝親免整理車庫透天,30.16,,3房2廳2衛,新城鄉
專任★前站有管理兩房車位華廈,16.8,,2房2廳2衛,花蓮市
自售＊美式花園農舍＊仲免,9.62,,3房3廳4衛,吉安鄉
(專任)台灣劭淩田園美景華廈~可直接入住,10.65,,3房2廳2衛,吉安鄉
志揚】花蓮壽豐鯉魚潭風景區有稅籍養身農地,5.97,,,壽豐鄉
🍎永慶富國🍎花蓮市國風街自地自建三房,34.99,,3房2廳2衛,花蓮市
志揚】花蓮市區高投報率抗通膨收租型套房,21.53,,14房1廳14衛,花蓮市
志揚】花蓮市山海夜景全新整理兩房,22.66,,2房2廳1衛,花蓮市
🍎永慶富國🍎秀林鄉崇德社區有庭院平房,15.75,,1房1廳1衛,秀林鄉
專任🔥前站雙陽台大套房！通風採光極好,21.89,,1房1衛,花蓮市
🍎永慶富國🍎花蓮市府前路起家優質店面,36.39,,,花蓮市
🍎永慶富國🍎站前中華國小3房美華廈,18.49,,3房2廳3衛,花蓮市
🍎永慶富國🍎年營業額1600萬店面,78.93,,4房2廳2衛,花蓮市
🍎永慶富國🍎花蓮市德安三房清靜透天,32.46,,3房2廳2衛,花蓮市
🍎永慶富國🍎晶華凱悅高樓層百坪華廈,27.07,,4房2廳2衛,花蓮市
🍎永慶富國🍎市區漂亮別墅,20.06,,4房2廳3衛,花蓮市
尚芳-山丘上的農舍,49.62,,3房2廳2衛,瑞穗鄉
尚芳-市區套房(二),18.12,,1房1衛,花蓮市
尚芳-富里(麗)米的故鄉【有機米專區】,0.33,,,富里鄉
太昌近慈濟輕齡美農舍-家有建國,33.77,,5房3廳6衛,吉安鄉
近四維高中大坪數車位華廈B-家有建國,21.2,,2房2廳2衛,花蓮市
專售_花蓮市香榭大道大坪數公寓,12.65,,3房2廳2衛,花蓮市
東安社區正對公園地絕美景觀視野別墅,21.54,,5房2廳6衛,壽豐鄉
君悅富國站前車位華廈飯店式管理,28.48,,3房2廳2衛,花蓮市
玉里低總價農地-家有建國,0.09,,,玉里鎮
君悅富國站前車位華廈飯店式管理,28.48,,3房2廳2衛,花蓮市
玉里低總價農地-家有建國,0.09,,,玉里鎮
慶修院平房原味屋-家有建國,35,,3房2廳1衛,吉安鄉
新城台九線7-11雙店面-家有建國,15.74,,,新城鄉
公寓5和6樓2層-家有建國,16.18,,開放式格局,花蓮市
*專售*瑞穗建地-家有建國,11.34,,,瑞穗鄉
專案-玉里鎮市中心生活便利4套房別墅,19.54,,4房3廳5衛,玉里鎮
美崙!稀有店住!降開1180!!,20.8,,,花蓮市
慶豐全新別墅-家有建國,26.05,,4房2廳4衛,吉安鄉
台灣劭淩北昌重劃五房孝親房別墅,23.67,,5房3廳2衛,吉安鄉
花蓮市中山路黃金店面,110.86,,1房1廳1衛,花蓮市
吉安麥當勞!溪畔公寓宅!低樓層唯美住宅!,22.4,,3房2廳2衛,花蓮市
美崙面海視野極佳家具全可直接入住,21.12,,4房2廳2衛,花蓮市
💁🏻‍♀️北歐現代風格景觀華廈,23.05,,3房2廳2衛,花蓮市
💁🏻‍♀️北昌近後站機能佳華廈,24,,3房1廳1衛,花蓮市
無敵海景飯店海灘旁近東大門夜市,41.95,,,吉安鄉
慈濟園區對面雙面採光大陽台套房,21.58,,1房1衛,花蓮市
新城曼波-面寬小筆農地,1.46,,,新城鄉
前站~商二.商業區,37.99,,,花蓮市
慶豐田園景觀別墅【台灣大為推薦】,26.09,,4房2廳4衛,吉安鄉
看海美宅觀日出，孝親房，平面車位,18.15,,2房2廳2衛,花蓮市
月收租2萬元有車位大坪數三房銜接租約,17.41,,3房2廳2衛,花蓮市
花東面海美建地,3.98,,,豐濱鄉
鳯林近長橋中心埔千坪農地,0.56,,,鳳林鎮
站前~建商保留戶~坪/25萬出,25.1,,1房1廳1衛,花蓮市
建坪41坪+平面車位~優質屋,21,,3房2廳2衛,花蓮市
北昌村~曾經老師的家【台灣大為推薦】,27.54,,5房2廳4衛,花蓮市
台灣大為~市區景觀2房,24.23,,2房2廳2衛,花蓮市
吉安鄉~老農舍~自行修建,62.34,,,吉安鄉
南華.土地96坪電梯大別墅,24.41,,6房2廳7衛,吉安鄉
吉安分局車位三房【台灣大為推薦】,19.95,,3房2廳2衛,吉安鄉
悠活專任-頂級南歐莊園,45.22,,9房3廳10衛,壽豐鄉
晶華凱悅三車位住辦二用(專任委託),36.24,,2房2廳2衛,花蓮市
悠活專任-每月12萬17房雙建物,20.15,,17房17衛,花蓮市
專任東華大學重劃志平段住宅區,3,,,壽豐鄉
俗到不行-專任二分半良田,0.33,,,光復鄉
住商悠活專任--自立路雙店面,24.51,,,花蓮市
悠活專任--明義國小美裝潢三房,21.25,,3房2廳2衛,花蓮市
住商悠活專任--光英小農地,1.3,,,吉安鄉
花蓮市精華地段透天,82.05,,6房2廳6衛,花蓮市
七星潭建地上有平房（另承租國有地）,28.13,,,新城鄉
壽豐|喧囂漸遠渡假景觀農舍,59.71,,,壽豐鄉
售鎮國街商業區店住，店底佳，營業自住皆宜,32.81,,,花蓮市
民宿東大旁平坦都農地，吳全段,0.98,,,壽豐鄉
花蓮威力大師浪漫情懷美崙花園老洋房,74.03,,3房2廳2衛,花蓮市
專任文鼎綠境華廈兩房，有承租車位,21.64,,2房2廳1衛,吉安鄉
學區房全新華廈2房2廳2衛浴＋平面車位,28.94,,2房2廳2衛,花蓮市
公寓三樓全新整理～好成家3房,24.03,,3房2廳1衛,花蓮市
獨家～河岸景觀宅～成家三房有車位,21.01,,3房2廳2衛,花蓮市
屋齡3年～花蓮市美妝電梯兩房～,26.17,,2房1廳1衛,花蓮市
富里有機村，鄉村乙建,6.07,,,富里鄉
吉安全新整理3套房,29.79,,4房2廳4衛,吉安鄉
吉安永興5套房電梯別墅2年新屋,20.87,,5房2廳6衛,吉安鄉
專案吉安永興4套房大面寬2年新別墅,22,,4房2廳5衛,吉安鄉
花蓮吉安國小旁方正農地🐥同心圓包子🐥,4.13,,,吉安鄉
專售商校大坪數輕奢華華廈,23.76,,3房2廳2衛,花蓮市
後站稀有別墅！五房適大家庭！找陳玉如,42.59,,5房2廳4衛,花蓮市
後站.10米寬優質.民宿店面.,20,,,花蓮市
興海段.都內農地,1.35,,,新城鄉
新城.360坪.都內農地,1.35,,,新城鄉
北昌優質住宅區-二樓健康宅,21.46,,3房2廳1衛,花蓮市
面對高爾夫球場~景觀豪宅,26.12,,4房2廳3衛,花蓮市
永興.全新完工~四套房,25.96,,4房2廳5衛,吉安鄉
新城.歐式.電梯.農舍,21.4,,,新城鄉
黃昏市場中央路旁交通便利工作室型別墅,17.41,,6房2廳5衛,吉安鄉
東海岸近石梯坪背山面海180度海景已成交,0.52,,,豐濱鄉
吉安南埔新建案華廈,23.2,,3房2廳2衛,吉安鄉
獨家～站前有整理～面寬三房華店,24.92,,3房2廳2衛,花蓮市
美崙社區型雙併大地坪歐式挑高車庫別墅,21.47,,3房3廳3衛,花蓮市
高指名指標性上美崙近門諾別墅,32.96,,5房3廳4衛,花蓮市
福興大地坪雙車庫電梯別墅〔已成交〕,22.63,,4房3廳6衛,吉安鄉
華廈豪宅頂級設備裝潢全都送,26.25,,4房2廳3衛,花蓮市
30米花東公路與溫泉路三角窗地標農地,2.1,,,瑞穗鄉
優質農地出售、交通便利風景秀麗,1.2,,,秀林鄉
宅在東台灣-壽豐大地坪休閒綠蔭悠靜農舍,37.5,,3房3廳2衛,壽豐鄉
美崙全新預售華廈,24.88,,3房2廳2衛,花蓮市
慶豐面寬全新4套房預售屋別墅,28.84,,4房2廳5衛,吉安鄉
美崙近球崙運動公園全新別墅,32.14,,4房2廳5衛,花蓮市
美崙千坪公園有車位(暫停)-找玲玲一定靈,19.53,,4房2廳2衛,花蓮市
黃昏市場旁四套房別墅,16.16,,4房3廳5衛,吉安鄉
上美崙平面車位公園全新大坪數華廈,33.41,,3房2廳2衛,花蓮市
稀有五房別墅/超美全新裝潢/北埔站前,24.24,,5房2廳6衛,新城鄉
站前7大套房+1F店面(現買x現租),22.39,,7房2廳8衛,新城鄉
專任崇德原保農地,0.38,,,秀林鄉
市區中正路巷弄透天,27.33,,3房2廳3衛,花蓮市
專任崇德原保農地,0.38,,,秀林鄉
自售東華大學都計內吳全段方正臨路農地,0.79,,,壽豐鄉
東華大學地300坪合法平房免繳房地稅,52.92,,開放式格局,壽豐鄉
德安明亮三房華廈,20.63,,3房2廳2衛,花蓮市
"土地171坪透天,近花蓮火車站慈濟醫院",15.09,,3房2廳2衛,花蓮市
壽豐.建地$6萬.環境優,6,,,壽豐鄉
"鳳林建地(一)無保存登記建築,買地送屋",9.62,,,鳳林鎮
佳林社區全新裝潢透天,34.07,,2房3廳3衛,新城鄉
花蓮市國民九街精美華店,21.64,,3房2廳3衛,花蓮市
花蓮市國盛一街低樓層公寓,22.32,,3房2廳2衛,花蓮市
愛琴海電梯華廈,22.22,,2房1廳1衛,花蓮市
花蓮富里透天厝,17.13,,4房2廳2衛,富里鄉
💯💯💯玉玲專賣前站管理兩房車位華廈,16.8,,2房2廳2衛,花蓮市
💯專賣花蓮市浪漫滿屋海景三房華廈,29.52,,3房2廳2衛,花蓮市
💯💯玉玲專賣北昌超優質社區電梯別墅,30.98,,4房2廳5衛,花蓮市
💯美崙一線看海大四房福容飯店旁華廈,15.99,,4房2廳3衛,花蓮市
💯💯💯花蓮後站七套房邊間屋況佳別墅,21.02,,7房2廳7衛,花蓮市
💯💯💯玉玲專賣花蓮火車站前電梯別墅,26.84,,5房2廳6衛,花蓮市
售出玉玲專賣校長故鄉鳳仁國小屋況佳透天,17.3,,4房2廳3衛,鳳林鎮
💯玉玲專賣近鯉魚潭壽豐白鮑溪旁山坡農地,0.27,,,壽豐鄉
豪宅大格局住戶單純24小時管理景觀美,22.08,,4房2廳3衛,花蓮市
鳳林鎮上邊間低總價稀有店住,18.59,,,鳳林鎮
"花蓮鳳林建地(二),可單獨買賣",54.54,,2房,鳳林鎮
遠百對面三角窗收益型大面寬店面地159坪,102.11,,,花蓮市
花蓮唯一鋼骨住宅大樓1.2樓免共乘電梯讚,20.51,,3房1廳2衛,花蓮市
三角窗挑高店面20米大道格局方正好用,23.71,,,花蓮市
永慶馮子甄🟨推壽豐廣闊無垠理新整美農舍,27.57,,5房3廳5衛,壽豐鄉
馮子甄專任~壽豐壽農段近台九小坪數農地,0.81,,,壽豐鄉
新城正台9線農舍,2.71,,,新城鄉
急售花蓮鯉魚潭附近小農地（原保地）,0.37,,,玉里鎮
市中心邊間雙併透天-找玲玲一定靈,32.46,,3房2廳2衛,花蓮市
花蓮縣玉里鎮193縣道農地,0.26,,,玉里鎮
有大山大海大樹的碧雲莊養生別墅,23.42,,4房2廳4衛,花蓮市
花蓮縣富里鄉東里村農地,0.13,,,富里鄉
花蓮縣富里鄉東里村小農地,0.16,,,富里鄉
花蓮縣玉里鎮193縣道風景區,0.3,,,玉里鎮
花蓮縣瑞穗鄉成屋+建地+農地,34.59,,2房1廳1衛,瑞穗鄉
花蓮縣玉里鎮觀音里193縣道景觀農地,0.3,,,玉里鎮
上美崙近門諾優質小天母社區別墅,32.96,,5房3廳4衛,花蓮市
新城北埔全新整理有車庫優質透天,34.05,,3房2廳3衛,新城鄉
永慶戴淑萍專售美崙高爾夫球場旁優質別墅,26.08,,4房5衛,花蓮市
市區高樓層~美裝潢有平車三房大樓,21.53,,3房2廳2衛,花蓮市
心慈子清推薦店住～站前全新裝潢降價促銷,21.64,,3房1廳3衛,花蓮市
有山有海，兩側景觀，坐北朝南，冬暖夏涼,15.9,,4房2廳2衛,花蓮市
日光車位親子宅-找玲玲一定靈,19.51,,3房2廳2衛,花蓮市
煙波看海第一排-新城月牙灣,1.85,,,新城鄉
子清推薦農舍～壽豐鄉全新整理自然風宅院,29.2,,5房2廳5衛,壽豐鄉
👍壽豐車站--超值寬大美農地👍,0.64,,,壽豐鄉
專任~壽豐近雲山水(農建地)~角地三面路,2.9,,,壽豐鄉
花蓮海景飯店,41.95,,,吉安鄉
住商心意豐🏆成交送Dyso美崙透天,25.5,,4房2廳4衛,花蓮市
近吉安火車站機能佳建地,14.21,,,吉安鄉
專售店面錢潮豐市臨20米路,35.04,,,吉安鄉
專售~花蓮市美崙溪旁屋況棒棒建康屋,13.64,,3房2廳1衛,花蓮市
21世紀小湯市區大地坪別墅,20.6,,5房2廳4衛,花蓮市
市區三角窗金鑽店面,33.58,,,花蓮市
專任北埔優質透天,27.42,,3房3廳3衛,新城鄉
21世紀小湯絕美鑄上逸三房+平面車位,35.25,,3房2廳2衛,花蓮市
和勝江山精美車位華廈,21,,3房2廳2衛,花蓮市
花蓮市~高投報~現成包租公婆~7套房~,33.73,,7房7衛,花蓮市
🌈田園景色社區型全新別墅🌈,30.37,,4房2廳5衛,吉安鄉
推薦新屋一房一廳~台灣房屋找陳玉如,28.09,,1房1廳1衛,花蓮市
吉安別墅*邊間雙併*全新,25.17,,4房2廳5衛,吉安鄉
鳳林農地*足坪*兆豐農場為伴,0.65,,,鳳林鎮
🏡重慶市場旁大地坪古色古香大平房🏡,49.81,,4房1廳1衛,花蓮市
美崙住家公園旁799萬~找玉如振萍,22.69,,4房2廳2衛,花蓮市
雙車庫電梯別墅~玉如0932651644,29.15,,6房2廳7衛,吉安鄉
干城大農地~可分割賣!!台灣房屋找陳玉如,1.2,,,吉安鄉
後站七套房別墅0932651644陳玉如,21.02,,7房2廳7衛,花蓮市
🌈專售~美崙寶雅旁低總價稀有釋出店面,39.38,,,花蓮市
煙波大飯店花蓮館旁乙種工業區,8.8,,,新城鄉
花蓮「國風學區」@多功能透天厝,29.62,,3房3廳5衛,花蓮市
幸福活力城市、花蓮市中正熱區店面,71.75,,,花蓮市
全新整理藍天美景渡假農舍-宏宇,27.57,,5房3廳5衛,壽豐鄉
🎉美崙樓中樓華廈768萬有車位洽陳玉如,18.82,,3房2廳3衛,花蓮市
專任🔥前站雙陽台大套房！洽陳玉如,20.97,,1房1衛,花蓮市
典雅溫馨兩房洽陳玉如0932651644,27.19,,2房1廳1衛,花蓮市
悠活專任-慈濟都內秘境六筆小農地,2.5,,,花蓮市
悠活專任-精選百坪無增建頂級旅宿,25.36,,8房4廳7衛,花蓮市
悠活專任--復古稀有平房,54.98,,3房2廳1衛,鳳林鎮
南海商圈低總價別墅-專任,21.06,,4房2廳2衛,吉安鄉
壽豐方正地形渡假農舍【有夠便宜】【阿先】,27.57,,5房3廳5衛,壽豐鄉
市區看海休閒小農地,1.7,,,吉安鄉
年營業額1600萬中華和平路前後店面,85.47,,4房2廳2衛,花蓮市
杜編織美推薦~知名香腸店旁方正市區建地,15.28,,,花蓮市
🎉🎉秀林加灣段山景原保方正農地,0.83,,,秀林鄉
近壽豐市區當區開價最低農地,0.77,,,壽豐鄉
美崙樓中樓大套房,18.45,,1房1廳1衛,花蓮市
站前4房機能華廈,19.39,,4房2廳2衛,花蓮市
💁‍♀️市區高樓層新穎美華廈(平面車位,23.05,,3房2廳2衛,花蓮市
宅在東台灣-秀林美景原保農地加資材室,0.45,,,秀林鄉
李安迪推薦美崙精華區環山海景房,22.56,,3房2廳2衛,花蓮市
自售/正市區華廈景觀南洋復古渡假房,21.68,,1房1廳1衛,花蓮市
悠活精選-鳳林頂級綠建築農舍莊園,31.04,,6房3廳6衛,鳳林鎮
"15米路忘憂璞園,創造自己的桃花源",0.65,,,鳳林鎮
李安迪推薦美崙精華區環山海景房,22.56,,3房2廳2衛,花蓮市
自售/正市區華廈景觀南洋復古渡假房,21.68,,1房1廳1衛,花蓮市
悠活精選-鳳林頂級綠建築農舍莊園,31.04,,6房3廳6衛,鳳林鎮
"15米路忘憂璞園,創造自己的桃花源",0.65,,,鳳林鎮
稀有~狗貓躍動園區旁~足坪農地,0.65,,,鳳林鎮
後站(邊間)-慈濟區-稀有-車庫透天,35.07,,6房1廳2衛,花蓮市
北昌特區國富門牌，三房免整美廈,26.06,,3房2廳2衛,花蓮市
杜編織美在市區給您兩套房全新整理透天,27.33,,2房2廳3衛,花蓮市
近後站-北昌區-超美三房-電梯華廈,26.05,,3房2廳2衛,花蓮市
🍎獨棟電梯別墅-,29.05,,5房3廳6衛,吉安鄉
美崙優質小天母社區別墅,32.96,,5房3廳4衛,花蓮市
台灣🏡萍萍🤝推薦秒殺件站前輕屋齡全新,26.17,,2房2廳1衛,花蓮市
台灣🏡萍萍🤝推薦太昌全聯邊間透天,24.98,,3房2廳4衛,花蓮市
(專任)台灣🏡萍萍🤝推薦秀林稀有原民,0.99,,,秀林鄉
我是承辦~福建大地坪清幽宅邸,49.81,,4房2廳2衛,花蓮市
💖💖黃昏市場溫馨宅-找玲玲一定靈,24.47,,3房2廳2衛,吉安鄉
鳳林市區大地坪復古平房,32.31,,開放式格局,鳳林鎮
壽豐月眉依山傍水小坪數建地,6.19,,,壽豐鄉
吉安近知卡宣公園獨棟面寬大地坪庭院別墅,25.75,,4房2廳2衛,吉安鄉
壽豐平和四區庭院農舍,55.9,,4房2廳3衛,壽豐鄉
鳳林近長橋國小土地方正美農地,0.56,,,鳳林鎮
🌈美崙雙公園、好停車華廈,15.92,,3房2廳2衛,花蓮市
北昌全新整理精緻3房華廈,26.06,,3房2廳2衛,花蓮市
市區優質邊間透天-直街入住.採光裝潢極佳,32.8,,4房2廳4衛,花蓮市
全新整理可煮美套房,26.24,,1房1廳1衛,花蓮市
站前4房機能華廈,19.39,,4房2廳2衛,花蓮市
悠活專任--壽豐小平房,6.22,,2房1廳1衛,壽豐鄉
悠活專任-7551坪每坪200元,0.02,,,萬榮鄉
悠活建地--鳳林大榮住宅區建地,6.43,,,鳳林鎮
住商悠活專任-全景休閒農莊園式農場,59.68,,8房3廳6衛,鳳林鎮
悠活獨家專任日式木屋好建地,100.76,,1房1廳1衛,花蓮市
悠活精選-鳳林高品質小農地,0.7,,,鳳林鎮
悠活精選-鄉村型丁種建地,3.3,,,鳳林鎮
市區機能透天,21.15,,3房2廳2衛,花蓮市
🎉🎉碧雲莊低總價透天,14.55,,5房2廳4衛,花蓮市
花蓮市火車站前原屋況四房車位透天,21.16,,4房2廳3衛,花蓮市
美崙現代生活，中高樓層望海套房,30.14,,1房1衛,花蓮市
鳳林小鎮大地坪車庫別墅,12.63,,4房2廳3衛,鳳林鎮
美崙海天一色無敵海景大套房,30.34,,1房1廳1衛,花蓮市
北埔近家樂福大地坪大面寬別墅,13.82,,5房2廳3衛,新城鄉
慈濟人文特區親民價透天,14.55,,5房2廳4衛,花蓮市
💁‍♀️吉安屋齡新四套房別墅,23.78,,4房2廳5衛,吉安鄉
慈濟人文特區親民價透天,14.57,,5房1廳4衛,花蓮市
教職起家厝～玉里大地坪雙併別墅,16.16,,7房2廳3衛,玉里鎮
玉里近車站稀有大坪數別墅,16.14,,7房2廳3衛,玉里鎮
壽豐都內築夢莊園小而美農地,1.87,,,壽豐鄉
急售花蓮市區山海景美廈,22.32,,3房2廳2衛,花蓮市
花蓮吉安良田美景之最農舍,48.29,,,吉安鄉
💁‍♀️康樂原屋透天,19.6,,3房2廳2衛,新城鄉
花蓮最美農舍~南法鄉村風~,61,,5房2廳6衛,吉安鄉
💥💥火紅花蓮市區小坪數方正建地,14.9,,,花蓮市
專賣~花蓮吉安屋齡超新~四套房別墅,23.5,,4房2廳5衛,吉安鄉
近吉安火車站優的全新裝潢兩房華廈,25.19,,2房2廳1衛,吉安鄉
近台九線最便宜農地,0.48,,,鳳林鎮
🎀🎀市區稀有釋出親民價車庫別墅,18.35,,4房2廳3衛,花蓮市
有一種味道叫做家近海星平房,27.66,,1房2廳1衛,新城鄉
後站富都心京品套房,28.46,,1房1廳1衛,花蓮市
💥💥火紅站前商業面寬機能極佳建地,37,,,花蓮市
💥💥碧雲莊優質別墅,27.3,,4房2廳3衛,花蓮市
花蓮美食街民國路上店面,243.69,,,花蓮市
北昌國富三房兩廳兩衛免整理美華廈,26.06,,3房2廳2衛,花蓮市
花蓮市火車站前低總價原屋況小資套房,19.95,,1房1衛,花蓮市
稀有釋出吉安近市區免整理美三房,20.22,,3房2廳2衛,吉安鄉
花蓮市雙併大地坪庭院別墅,40.56,,4房2廳2衛,花蓮市
市區免千萬高樓層看山看海大坪數三房美廈,25.62,,3房2廳2衛,花蓮市
💥💥美崙文教區無敵海景大套房,30.14,,1房1廳1衛,花蓮市
美崙大地坪生活都市透天,22.56,,開放式格局,花蓮市
花蓮市高樓層採光景色優美大樓,20.63,,3房2廳2衛,花蓮市
★6米面寬型5房別墅★花蓮房地買賣,25,,5房2廳5衛,吉安鄉
北埔大地坪面寬免千萬別墅,13.81,,5房2廳3衛,新城鄉
美崙現代生活海景套房,30.16,,1房1廳1衛,花蓮市
中華國宅看海溫馨裝潢華廈,22.03,,3房2廳2衛,花蓮市
慶豐邊間極具設計感店面,36.49,,3房3廳5衛,吉安鄉
杜編織美~火車站前原屋況低總價小資美套房,20,,1房1衛,花蓮市
現成包租公市中心抗跌精華店面,43.87,,,花蓮市
杜編織美~吉安祕密花園精緻建地,14.32,,,吉安鄉
太昌輕齡棕梠樹農舍,56.53,,,吉安鄉
宅在東台灣-花蓮市蛋黃區角間大地坪店面,157,,,花蓮市
美崙中美路大樓B1商業用大空間,12.08,,,花蓮市
🔴遠百商圈三角窗店面,110.67,,,花蓮市
後站優質收租金店住,45.71,,,花蓮市
花蓮市中心中華路一級戰區黃金店面,69.49,,,花蓮市
壽豐VILLA風情農舍~有巢泉盛,38.3,,7房2廳8衛,壽豐鄉
花蓮慈濟精舍電梯農舍~有巢泉盛,29.5,,6房3廳7衛,新城鄉
北埔雙足坪農地~有巢泉盛,1.1,,,新城鄉
福興優質農地~有巢泉盛,1.07,,,吉安鄉
台灣大為~吉安南埔孝親房透天,31.19,,4房2廳4衛,吉安鄉
市區全新3房~可買車位【台灣大為】,27.06,,3房2廳2衛,花蓮市
永慶志青~市心優質區高機能四房華廈,16.09,,4房2廳2衛,花蓮市
市區全聯旁北歐風景觀華廈-找玲玲一定靈,24.71,,3房2廳2衛,花蓮市
市區全聯旁北歐風景觀華廈-找玲玲一定靈,24.71,,3房2廳2衛,花蓮市
專賣⭐南海靜巷邊間微整理透天,22.37,,2房2廳2衛,吉安鄉
市中心艾美酒店商圈明義花崗學區超讚,48.72,,,花蓮市
邀您共享自然與人文共構的優美綠建築,42.09,,7房5廳8衛,壽豐鄉
綜合市場賺錢雙店面,43.2,,,花蓮市
明義國小10米大面寬超美復古店住,65.34,,3房2廳2衛,花蓮市
🍎正市區舒適兩房！搶手！賣屋四寶媽上慧,27.82,,2房1廳2衛,花蓮市
專售*花蓮市中心工業風優質透天,40.74,,4房2廳4衛,花蓮市
後站近慈濟醫生最愛靜巷五套房別墅,22.11,,5房1廳6衛,花蓮市
優質店住!人潮車潮!強強滾!,19.94,,2房2廳3衛,花蓮市
花蓮市區近東大門2年輕屋齡美華廈,27.61,,2房2廳2衛,花蓮市
光復低總價優質建地面寬11米角地,4.95,,,光復鄉
花蓮後站2房車位全新預售電梯華廈,29.58,,2房2廳2衛,花蓮市
吉安整新美3房台灣大為,19.36,,3房2廳2衛,吉安鄉
【台灣大為】吉安景觀三房~每坪只要10萬,10.65,,3房2廳2衛,吉安鄉
【台灣大為推薦】市區高樓景觀3房,22.42,,3房2廳2衛,花蓮市
市區景觀車位三房【台灣大為推薦】,21.04,,3房2廳2衛,花蓮市
花蓮站前全新景觀2房【台灣大為】,26.51,,2房2廳2衛,花蓮市
市中心機能華廈蛋黃區邊間承租車位,21.46,,2房2廳2衛,花蓮市
香榭大道旁稀有超大店面,58.35,,,花蓮市
站前河堤漂亮華廈,22.72,,3房2廳2衛,花蓮市
北昌優質生活圈經典3房,24.04,,3房2廳1衛,花蓮市
🍎三面採光全新整理兩房！賣屋四寶媽上慧,27.19,,2房1廳1衛,花蓮市
大地坪雙車位別墅【輕屋齡】【阿先】,33.23,,6房2廳5衛,花蓮市
美崙最便宜溫馨小資宅【阿先】【專售】,18.07,,1房2廳1衛,花蓮市
美崙稀有大坪數景觀華廈,16.46,,4房2廳2衛,花蓮市
吉安全新就是美別墅,25.77,,4房2廳5衛,吉安鄉
站前渡假華廈門前大車位,21.63,,3房2廳3衛,花蓮市
全新整理三面採光典雅溫馨兩房,27.19,,2房1廳1衛,花蓮市
宅在東台灣專任壽豐鯉魚潭住宅建地+露營區,4.76,,,壽豐鄉
美崙稀有大坪數景觀華廈,16.46,,4房2廳2衛,花蓮市
吉安全新就是美別墅,25.77,,4房2廳5衛,吉安鄉
站前渡假華廈門前大車位,21.63,,3房2廳3衛,花蓮市
全新整理三面採光典雅溫馨兩房,27.19,,2房1廳1衛,花蓮市
